指标,PID,SAC,SAC-PID
稳态误差 ‖e‖,0.4337,0.0376,0.0056
峰值误差,19.3163,19.3306,19.3163
RMSE,1.8969,2.1970,1.3012
收敛时间/s,1.3300,0.7900,0.2700
平均恢复时间/s,1.0225,0.4850,0.2000
训练平均奖励,N/A,-89.6,-36.3
